,1_Individual,2_Household,3_Village   ,4_Community,5_User groups,6_Watershed,7_Sub-Regional,8_State ,9_National,10_Regional ,11_International ,social_mgmt
1_Transect ,0,0,2,0,0,0,0,0,0,0,0,0
2_Patch reef,0,0,4,0,0,1,0,0,0,6,0,
3_Village   ,6,0,8,5,3,3,1,0,1,8,0,
4_Community,0,8,3,2,9,10,1,1,0,5,0,
5_Watershed,0,5,9,6,4,18,2,0,0,0,0,
6_Sub-Regional - district,0,0,1,0,1,0,1,0,0,2,0,
7_Sub-Regional - island,0,0,1,3,0,0,9,18,17,4,1,
8_State ,0,0,0,0,0,0,1,0,9,0,2,
9_National,0,0,0,0,0,0,0,0,0,6,2,
10_Regional ,0,0,0,0,0,0,0,0,1,1,3,
11_International ,0,0,0,0,0,0,0,0,0,0,0,
